time_s,seq_id,EMG_RH_Env,EMG_LH_Env,L_Angle,R_Angle,L_Torque,R_Torque,Squat_Ph,User_intent
35.200604,3903,0.00220607,0.00982600,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.200604,3904,0.00201076,0.00942178,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.200604,3905,0.00239133,0.00913086,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.232474,3906,0.00249062,0.00922922,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.232474,3907,0.00289340,0.00980478,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.232474,3908,0.00273642,0.01006056,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.264424,3909,0.00216422,0.01079447,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.264424,3910,0.00202962,0.01146535,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.264424,3911,0.00192466,0.01240832,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.297347,3912,0.00195799,0.01237766,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.297347,3913,0.00204626,0.01189446,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.297347,3914,0.00173130,0.01173047,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.297347,3915,0.00189893,0.01135238,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.336556,3916,0.00199436,0.01101480,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.336556,3917,0.00192437,0.01048133,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.336556,3918,0.00237977,0.00951475,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.361661,3919,0.00241444,0.00947507,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.361661,3920,0.00290476,0.00947029,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.361661,3921,0.00246688,0.01035388,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.391486,3922,0.00288834,0.01043351,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.391486,3923,0.00247588,0.01052074,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.391486,3924,0.00215727,0.01108028,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.426793,3925,0.00212556,0.01098167,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.426793,3926,0.00189710,0.01041179,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.426793,3927,0.00166256,0.00981217,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.455613,3928,0.00162321,0.00987885,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.455613,3929,0.00155536,0.00987684,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.455613,3930,0.00169922,0.00986009,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.455613,3931,0.00170756,0.00978123,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.488974,3932,0.00159485,0.00960046,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.488974,3933,0.00162129,0.00880700,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.488974,3934,0.00210647,0.00907244,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.520364,3935,0.00206344,0.00902992,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.520364,3936,0.00182831,0.00856604,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.520364,3937,0.00188227,0.00863645,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.552548,3938,0.00243275,0.00844461,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.552548,3939,0.00247059,0.00851181,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.552548,3940,0.00236130,0.00838321,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.583790,3941,0.00220216,0.00902617,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.583790,3942,0.00196108,0.00912998,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.583790,3943,0.00205266,0.00968000,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.616008,3944,0.00197017,0.00991641,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.616008,3945,0.00184720,0.00948014,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.616008,3946,0.00195112,0.00884947,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.616008,3947,0.00311768,0.00845687,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.647709,3948,0.00281419,0.00840857,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.647709,3949,0.00249479,0.00824489,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.647709,3950,0.00262930,0.00795416,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.681360,3951,0.00262944,0.00823342,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.681360,3952,0.00276005,0.00823372,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.681360,3953,0.00274101,0.00851642,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.711742,3954,0.00241097,0.00901923,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.711742,3955,0.00286460,0.00892039,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.711742,3956,0.00239559,0.00896992,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.746344,3957,0.00198366,0.00825499,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.746344,3958,0.00180586,0.00845806,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.746344,3959,0.00188612,0.00923945,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
35.774780,3960,0.00191321,0.00986783,-2.67333984,-19.74609375,0.00000000,0.00000000,0.00000000,0.00000000
